"predictor","age1","age2","correlation"
"MCDIp","18","16",0.962658401261364
"MCDIp","18","17",0.982962477719554
"MCDIp","18","18",1
"MCDIp","18","19",0.979840113291709
"MCDIp","18","20",0.973698468052942
"MCDIp","18","21",0.954495053559105
"MCDIp","18","22",0.926056542603398
"MCDIp","18","23",0.889872253679493
"MCDIp","18","24",0.864772818251767
"MCDIp","18","25",0.82947152244746
"MCDIp","18","26",0.81503490135784
"MCDIp","18","27",0.801894742418922
"MCDIp","18","28",0.703544341855824
"MCDIp","18","29",0.743354401681277
"MCDIp","18","30",0.71225411572919
"MCDIp","21","16",0.877319687439665
"MCDIp","21","17",0.914830753375236
"MCDIp","21","18",0.954495053559105
"MCDIp","21","19",0.983505746429392
"MCDIp","21","20",0.988996930861007
"MCDIp","21","21",1
"MCDIp","21","22",0.985834973408415
"MCDIp","21","23",0.972181268177242
"MCDIp","21","24",0.960140985934975
"MCDIp","21","25",0.938962960391091
"MCDIp","21","26",0.927711003255036
"MCDIp","21","27",0.916461798465791
"MCDIp","21","28",0.844518102473555
"MCDIp","21","29",0.870399455952948
"MCDIp","21","30",0.841830287769989
"MCDIp","24","16",0.764060863196302
"MCDIp","24","17",0.807204578372918
"MCDIp","24","18",0.864772818251767
"MCDIp","24","19",0.927976400655117
"MCDIp","24","20",0.939225417961645
"MCDIp","24","21",0.960140985934975
"MCDIp","24","22",0.979024037408904
"MCDIp","24","23",0.992808228543207
"MCDIp","24","24",1
"MCDIp","24","25",0.990917991377983
"MCDIp","24","26",0.987594519319089
"MCDIp","24","27",0.980284945067827
"MCDIp","24","28",0.942261836431015
"MCDIp","24","29",0.957639370647847
"MCDIp","24","30",0.939616683639008
"MCDIp","27","16",0.69838071739325
"MCDIp","27","17",0.740705013657359
"MCDIp","27","18",0.801894742418922
"MCDIp","27","19",0.873896402618042
"MCDIp","27","20",0.888542727412815
"MCDIp","27","21",0.916461798465791
"MCDIp","27","22",0.945846061243603
"MCDIp","27","23",0.966874337555601
"MCDIp","27","24",0.980284945067827
"MCDIp","27","25",0.985963654525789
"MCDIp","27","26",0.990307848757778
"MCDIp","27","27",1
"MCDIp","27","28",0.970643455304266
"MCDIp","27","29",0.981823622066914
"MCDIp","27","30",0.972785994921158
"MCDIp","30","16",0.611620167860347
"MCDIp","30","17",0.651255816825165
"MCDIp","30","18",0.71225411572919
"MCDIp","30","19",0.791489227466732
"MCDIp","30","20",0.805770456465472
"MCDIp","30","21",0.841830287769989
"MCDIp","30","22",0.879790132126181
"MCDIp","30","23",0.917020373250241
"MCDIp","30","24",0.939616683639008
"MCDIp","30","25",0.95229475349912
"MCDIp","30","26",0.963707906801105
"MCDIp","30","27",0.972785994921158
"MCDIp","30","28",0.972509273274875
"MCDIp","30","29",0.990596954249459
"MCDIp","30","30",1
"log_FQ","18","16",0.992477061153564
"log_FQ","18","17",0.9963460045758
"log_FQ","18","18",1
"log_FQ","18","19",0.997960752398297
"log_FQ","18","20",0.995685099839723
"log_FQ","18","21",0.993454395693698
"log_FQ","18","22",0.990875554619777
"log_FQ","18","23",0.988607026295969
"log_FQ","18","24",0.980571408660263
"log_FQ","18","25",0.978328274698439
"log_FQ","18","26",0.976699474815711
"log_FQ","18","27",0.97398523889852
"log_FQ","18","28",0.97011310447943
"log_FQ","18","29",0.967304422485526
"log_FQ","18","30",0.965212600538835
"log_FQ","21","16",0.983835314396949
"log_FQ","21","17",0.988628862163018
"log_FQ","21","18",0.993454395693698
"log_FQ","21","19",0.996508412980968
"log_FQ","21","20",0.998821535017318
"log_FQ","21","21",1
"log_FQ","21","22",0.998311289252186
"log_FQ","21","23",0.996983497678206
"log_FQ","21","24",0.989340171209952
"log_FQ","21","25",0.988317163044499
"log_FQ","21","26",0.987552771250124
"log_FQ","21","27",0.985649277558314
"log_FQ","21","28",0.982817939701679
"log_FQ","21","29",0.981048719134992
"log_FQ","21","30",0.979560657773475
"log_FQ","24","16",0.969047220666707
"log_FQ","24","17",0.973409510299997
"log_FQ","24","18",0.980571408660263
"log_FQ","24","19",0.98331473010878
"log_FQ","24","20",0.986494106038926
"log_FQ","24","21",0.989340171209952
"log_FQ","24","22",0.992353020496938
"log_FQ","24","23",0.99331949444566
"log_FQ","24","24",1
"log_FQ","24","25",0.999507143225787
"log_FQ","24","26",0.998750118018809
"log_FQ","24","27",0.997725761033044
"log_FQ","24","28",0.995720381497617
"log_FQ","24","29",0.99421182595819
"log_FQ","24","30",0.992722673763133
"log_FQ","27","16",0.962072138606944
"log_FQ","27","17",0.966929023959784
"log_FQ","27","18",0.97398523889852
"log_FQ","27","19",0.977684341289691
"log_FQ","27","20",0.981935432941351
"log_FQ","27","21",0.985649277558314
"log_FQ","27","22",0.989684244057232
"log_FQ","27","23",0.991265163701334
"log_FQ","27","24",0.997725761033044
"log_FQ","27","25",0.998808446882517
"log_FQ","27","26",0.999453307625871
"log_FQ","27","27",1
"log_FQ","27","28",0.999163482292219
"log_FQ","27","29",0.998457421060668
"log_FQ","27","30",0.997560256850976
"log_FQ","30","16",0.953830975922971
"log_FQ","30","17",0.958742744571965
"log_FQ","30","18",0.965212600538835
"log_FQ","30","19",0.969976759852315
"log_FQ","30","20",0.974972346620389
"log_FQ","30","21",0.979560657773475
"log_FQ","30","22",0.984505565251848
"log_FQ","30","23",0.986673673639615
"log_FQ","30","24",0.992722673763133
"log_FQ","30","25",0.994560034272747
"log_FQ","30","26",0.995987470531519
"log_FQ","30","27",0.997560256850976
"log_FQ","30","28",0.998732230300475
"log_FQ","30","29",0.999439436757923
"log_FQ","30","30",1
"LD","18","16",0.995487802682797
"LD","18","17",0.998224605243245
"LD","18","18",1
"LD","18","19",0.998858135387702
"LD","18","20",0.997089730770841
"LD","18","21",0.994758758533529
"LD","18","22",0.991709415940733
"LD","18","23",0.988121719227608
"LD","18","24",0.981862323632593
"LD","18","25",0.978373407471808
"LD","18","26",0.975545076112307
"LD","18","27",0.972085761841388
"LD","18","28",0.96830611278079
"LD","18","29",0.963542478200948
"LD","18","30",0.959984411795157
"LD","21","16",0.986398151612646
"LD","21","17",0.990998328157923
"LD","21","18",0.994758758533529
"LD","21","19",0.997329818262754
"LD","21","20",0.99902764037442
"LD","21","21",1
"LD","21","22",0.998916177942069
"LD","21","23",0.997324453160234
"LD","21","24",0.992082896702035
"LD","21","25",0.990171999606
"LD","21","26",0.988477863323032
"LD","21","27",0.986283130369448
"LD","21","28",0.98358772373243
"LD","21","29",0.980092479802748
"LD","21","30",0.977466834947629
"LD","24","16",0.970689669185018
"LD","24","17",0.975923265889391
"LD","24","18",0.981862323632593
"LD","24","19",0.985901485355369
"LD","24","20",0.989071224810414
"LD","24","21",0.992082896702035
"LD","24","22",0.994662043566636
"LD","24","23",0.996333872018488
"LD","24","24",1
"LD","24","25",0.999309166323603
"LD","24","26",0.998365075296239
"LD","24","27",0.996996330490239
"LD","24","28",0.995190002948857
"LD","24","29",0.992782366873231
"LD","24","30",0.990797301116754
"LD","27","16",0.959641932297579
"LD","27","17",0.965360476390728
"LD","27","18",0.972085761841388
"LD","27","19",0.977555480254659
"LD","27","20",0.982029593229512
"LD","27","21",0.986283130369448
"LD","27","22",0.989943420303
"LD","27","23",0.992817834366166
"LD","27","24",0.996996330490239
"LD","27","25",0.998583862881891
"LD","27","26",0.999378690079165
"LD","27","27",1
"LD","27","28",0.999337873737888
"LD","27","29",0.99827223077285
"LD","27","30",0.99719966456211
"LD","30","16",0.94667800945932
"LD","30","17",0.952639228786007
"LD","30","18",0.959984411795157
"LD","30","19",0.966567611739652
"LD","30","20",0.972066241181415
"LD","30","21",0.977466834947629
"LD","30","22",0.981977946833983
"LD","30","23",0.985909580632086
"LD","30","24",0.990797301116754
"LD","30","25",0.993653524146892
"LD","30","26",0.995466892697403
"LD","30","27",0.99719966456211
"LD","30","28",0.998476545559222
"LD","30","29",0.999505950957995
"LD","30","30",1
"DD","18","16",0.998827089022669
"DD","18","17",0.999614564807378
"DD","18","18",1
"DD","18","19",0.999661138265997
"DD","18","20",0.998766146152973
"DD","18","21",0.997875074065886
"DD","18","22",0.996779107353249
"DD","18","23",0.995455097575744
"DD","18","24",0.995080983636982
"DD","18","25",0.994101407780899
"DD","18","26",0.993056886309987
"DD","18","27",0.992148608515814
"DD","18","28",0.990918073193154
"DD","18","29",0.989744050364696
"DD","18","30",0.988087350001164
"DD","21","16",0.995087813942516
"DD","21","17",0.997112038046244
"DD","21","18",0.997875074065886
"DD","21","19",0.999108555399889
"DD","21","20",0.999811356520552
"DD","21","21",1
"DD","21","22",0.999794794670571
"DD","21","23",0.999305389101178
"DD","21","24",0.998415337759678
"DD","21","25",0.997893998750395
"DD","21","26",0.997248053300308
"DD","21","27",0.996697089365021
"DD","21","28",0.995768245501687
"DD","21","29",0.994894782310451
"DD","21","30",0.993574279787811
"DD","24","16",0.991881074878185
"DD","24","17",0.994064120615014
"DD","24","18",0.995080983636982
"DD","24","19",0.996669604131475
"DD","24","20",0.997725093023613
"DD","24","21",0.998415337759678
"DD","24","22",0.998956915218836
"DD","24","23",0.999153909426218
"DD","24","24",1
"DD","24","25",0.999894443550181
"DD","24","26",0.999647271991736
"DD","24","27",0.999340430431719
"DD","24","28",0.998761160801549
"DD","24","29",0.998185195422061
"DD","24","30",0.99727106899782
"DD","27","16",0.988794483212102
"DD","27","17",0.991157029868082
"DD","27","18",0.992148608515814
"DD","27","19",0.994146465592143
"DD","27","20",0.99558994148693
"DD","27","21",0.996697089365021
"DD","27","22",0.997704256339898
"DD","27","23",0.998365062592207
"DD","27","24",0.999340430431719
"DD","27","25",0.999724711049709
"DD","27","26",0.999930323474955
"DD","27","27",1
"DD","27","28",0.999801888039338
"DD","27","29",0.999613986801905
"DD","27","30",0.999033053697312
"DD","30","16",0.984814602898835
"DD","30","17",0.987195043481627
"DD","30","18",0.988087350001164
"DD","30","19",0.990361447382858
"DD","30","20",0.992160547271863
"DD","30","21",0.993574279787811
"DD","30","22",0.995002146476349
"DD","30","23",0.996055345895993
"DD","30","24",0.99727106899782
"DD","30","25",0.998051444541618
"DD","30","26",0.998661868581957
"DD","30","27",0.999033053697312
"DD","30","28",0.999552489285264
"DD","30","29",0.999717893386991
"DD","30","30",1
"PKC","18","16",0.755458558672436
"PKC","18","17",0.817323616496362
"PKC","18","18",1
"PKC","18","19",0.977391577514523
"PKC","18","20",0.955608942713994
"PKC","18","21",0.939567427434945
"PKC","18","22",0.862082888500055
"PKC","18","23",0.846519598579353
"PKC","18","24",0.83741540697126
"PKC","18","25",0.819313317898051
"PKC","18","26",0.807482216259096
"PKC","18","27",0.791270674250747
"PKC","18","28",0.747175535751198
"PKC","18","29",0.755519608149559
"PKC","18","30",0.713107786413299
"PKC","21","16",0.690176139827929
"PKC","21","17",0.760507694178594
"PKC","21","18",0.939567427434945
"PKC","21","19",0.965272471351032
"PKC","21","20",0.982714181936016
"PKC","21","21",1
"PKC","21","22",0.930843769078464
"PKC","21","23",0.914044979958228
"PKC","21","24",0.912886916686627
"PKC","21","25",0.897873348208263
"PKC","21","26",0.886646594204005
"PKC","21","27",0.872750218541349
"PKC","21","28",0.824442554207747
"PKC","21","29",0.835057481196782
"PKC","21","30",0.791718168361962
"PKC","24","16",0.693105373067528
"PKC","24","17",0.763937729262951
"PKC","24","18",0.83741540697126
"PKC","24","19",0.868882936811479
"PKC","24","20",0.893000792264732
"PKC","24","21",0.912886916686627
"PKC","24","22",0.957435018134232
"PKC","24","23",0.964880776982641
"PKC","24","24",1
"PKC","24","25",0.992030935689845
"PKC","24","26",0.980520748548185
"PKC","24","27",0.975272719472
"PKC","24","28",0.953498450684517
"PKC","24","29",0.953454742935185
"PKC","24","30",0.927122298600345
"PKC","27","16",0.673032706912049
"PKC","27","17",0.72213149347985
"PKC","27","18",0.791270674250747
"PKC","27","19",0.822179992093849
"PKC","27","20",0.849728732857308
"PKC","27","21",0.872750218541349
"PKC","27","22",0.921568196747322
"PKC","27","23",0.932800795163763
"PKC","27","24",0.975272719472
"PKC","27","25",0.980932784933639
"PKC","27","26",0.98941629993899
"PKC","27","27",1
"PKC","27","28",0.976087347399702
"PKC","27","29",0.974087219190548
"PKC","27","30",0.955854939763391
"PKC","30","16",0.604446843077154
"PKC","30","17",0.653610630028578
"PKC","30","18",0.713107786413299
"PKC","30","19",0.743585807765146
"PKC","30","20",0.765721289180576
"PKC","30","21",0.791718168361962
"PKC","30","22",0.856027587395928
"PKC","30","23",0.868439105289031
"PKC","30","24",0.927122298600345
"PKC","30","25",0.936740442222931
"PKC","30","26",0.948012801272159
"PKC","30","27",0.955854939763391
"PKC","30","28",0.97993438476658
"PKC","30","29",0.980692443104537
"PKC","30","30",1
